video,category,pose_sequence,subset
pose_data/train/decline bench press/bbfb9230-6e09-4c50-b6b0-9984a5b7a8ee.npy,decline bench press,bbfb9230-6e09-4c50-b6b0-9984a5b7a8ee.npy,train
pose_data/train/decline bench press/9aed824c-53ea-4258-8bbc-d46ca702b91a.npy,decline bench press,9aed824c-53ea-4258-8bbc-d46ca702b91a.npy,train
pose_data/train/decline bench press/b8bd2633-6100-4ec2-a9ff-00333fce03b6.npy,decline bench press,b8bd2633-6100-4ec2-a9ff-00333fce03b6.npy,train
pose_data/train/decline bench press/fa8d4334-5e62-49ff-8714-2f9dd9cea28e.npy,decline bench press,fa8d4334-5e62-49ff-8714-2f9dd9cea28e.npy,train
pose_data/train/decline bench press/a896021e-5965-4453-9579-7bfde356408e.npy,decline bench press,a896021e-5965-4453-9579-7bfde356408e.npy,train
pose_data/train/decline bench press/de85eb30-4699-495c-9797-fbc7a86a2610.npy,decline bench press,de85eb30-4699-495c-9797-fbc7a86a2610.npy,train
pose_data/train/decline bench press/3d380b48-95fe-471b-8397-a90ca1110c68.npy,decline bench press,3d380b48-95fe-471b-8397-a90ca1110c68.npy,train
pose_data/train/decline bench press/c393d1ea-e5cb-413b-b4b3-6235697961da.npy,decline bench press,c393d1ea-e5cb-413b-b4b3-6235697961da.npy,train
pose_data/train/decline bench press/5038e0a3-4804-4800-b1cf-23ed2bf49165.npy,decline bench press,5038e0a3-4804-4800-b1cf-23ed2bf49165.npy,train
pose_data/train/decline bench press/72b2c4ed-cc97-433c-923e-0164ca6dcdcd.npy,decline bench press,72b2c4ed-cc97-433c-923e-0164ca6dcdcd.npy,train
pose_data/train/decline bench press/4fd2f33a-73f5-4ea0-99fc-7245f0adca0e.npy,decline bench press,4fd2f33a-73f5-4ea0-99fc-7245f0adca0e.npy,train
pose_data/train/decline bench press/0e1b28b6-c19e-45d9-b8de-695ae196d8d9.npy,decline bench press,0e1b28b6-c19e-45d9-b8de-695ae196d8d9.npy,train
pose_data/train/decline bench press/7b66b1c7-a8e5-4f6f-aebc-daaf859a9860.npy,decline bench press,7b66b1c7-a8e5-4f6f-aebc-daaf859a9860.npy,train
pose_data/train/decline bench press/87c33ec5-a51d-4811-92c4-4a7b6c948e7d.npy,decline bench press,87c33ec5-a51d-4811-92c4-4a7b6c948e7d.npy,train
pose_data/train/decline bench press/25227b76-fa49-46d3-87c8-2ff0c3a417d7.npy,decline bench press,25227b76-fa49-46d3-87c8-2ff0c3a417d7.npy,train
pose_data/train/decline bench press/2ddfc01f-0cf5-4486-8896-9ebf84894e18.npy,decline bench press,2ddfc01f-0cf5-4486-8896-9ebf84894e18.npy,train
pose_data/train/decline bench press/486f81c0-da54-46a9-9e70-c10afd947015.npy,decline bench press,486f81c0-da54-46a9-9e70-c10afd947015.npy,train
pose_data/train/decline bench press/77e36aeb-b697-4c16-83dc-e40f0abf0d73.npy,decline bench press,77e36aeb-b697-4c16-83dc-e40f0abf0d73.npy,train
pose_data/train/decline bench press/16c5d52f-087f-4d21-a55f-2f097c8935f2.npy,decline bench press,16c5d52f-087f-4d21-a55f-2f097c8935f2.npy,train
pose_data/train/decline bench press/45621b8d-582c-4002-bc11-1bbddbddf507.npy,decline bench press,45621b8d-582c-4002-bc11-1bbddbddf507.npy,train
pose_data/train/decline bench press/743ca02e-4970-4e31-9ecd-1cf6a24749b6.npy,decline bench press,743ca02e-4970-4e31-9ecd-1cf6a24749b6.npy,train
pose_data/train/decline bench press/56336d4d-3570-43d0-becf-f49b18bd9072.npy,decline bench press,56336d4d-3570-43d0-becf-f49b18bd9072.npy,train
pose_data/train/decline bench press/0cb25076-8a95-428e-922a-a408bb45ae0d.npy,decline bench press,0cb25076-8a95-428e-922a-a408bb45ae0d.npy,train
pose_data/train/decline bench press/80e48bb1-740a-4e7d-b87c-5d97d75391b4.npy,decline bench press,80e48bb1-740a-4e7d-b87c-5d97d75391b4.npy,train
pose_data/train/decline bench press/1740ab26-152c-4350-8be5-ba47badc1d54.npy,decline bench press,1740ab26-152c-4350-8be5-ba47badc1d54.npy,train
pose_data/train/decline bench press/e9ce9382-c4a5-4b67-a66a-b001ba377bbd.npy,decline bench press,e9ce9382-c4a5-4b67-a66a-b001ba377bbd.npy,train
pose_data/train/decline bench press/10a6039c-552f-4896-95ca-9a7657f62e3b.npy,decline bench press,10a6039c-552f-4896-95ca-9a7657f62e3b.npy,train
pose_data/train/decline bench press/bad7e792-ae65-4ad3-9331-adf7b886e2fa.npy,decline bench press,bad7e792-ae65-4ad3-9331-adf7b886e2fa.npy,train
pose_data/train/decline bench press/936f5e38-fe66-4740-b7f4-20e77d93c628.npy,decline bench press,936f5e38-fe66-4740-b7f4-20e77d93c628.npy,train
pose_data/train/decline bench press/bcca3f80-9376-4964-8d25-124c4dc43bc4.npy,decline bench press,bcca3f80-9376-4964-8d25-124c4dc43bc4.npy,train
pose_data/train/decline bench press/73e240a2-c283-429a-9b88-1872e0f9564b.npy,decline bench press,73e240a2-c283-429a-9b88-1872e0f9564b.npy,train
pose_data/train/decline bench press/f2f2e985-c4e0-496d-a547-06c8fcc41097.npy,decline bench press,f2f2e985-c4e0-496d-a547-06c8fcc41097.npy,train
pose_data/train/decline bench press/5ae675cd-8655-46cb-965a-920aa20628e7.npy,decline bench press,5ae675cd-8655-46cb-965a-920aa20628e7.npy,train
pose_data/train/decline bench press/23fe1362-6341-4d80-8504-c3c7dab11d31.npy,decline bench press,23fe1362-6341-4d80-8504-c3c7dab11d31.npy,train
pose_data/train/decline bench press/26dc8699-a8c0-402c-af6b-7f97ff27ba0c.npy,decline bench press,26dc8699-a8c0-402c-af6b-7f97ff27ba0c.npy,train
pose_data/train/decline bench press/a4f65285-3420-4fff-92e4-c6e728845288.npy,decline bench press,a4f65285-3420-4fff-92e4-c6e728845288.npy,train
pose_data/train/decline bench press/05c989f7-9a06-4d8f-b136-62b28cfeca37.npy,decline bench press,05c989f7-9a06-4d8f-b136-62b28cfeca37.npy,train
pose_data/train/decline bench press/7afe2f72-eb54-4f0c-8446-b01b28a09f1d.npy,decline bench press,7afe2f72-eb54-4f0c-8446-b01b28a09f1d.npy,train
pose_data/train/decline bench press/d0e6c1d6-26e0-4dc0-a78c-6b424c662f6c.npy,decline bench press,d0e6c1d6-26e0-4dc0-a78c-6b424c662f6c.npy,train
pose_data/train/decline bench press/7904aa53-c61b-4365-b746-79c953bd4dd2.npy,decline bench press,7904aa53-c61b-4365-b746-79c953bd4dd2.npy,train
pose_data/train/decline bench press/0605d5c0-529d-4c55-b8b7-dfeee1c08b83.npy,decline bench press,0605d5c0-529d-4c55-b8b7-dfeee1c08b83.npy,train
pose_data/train/decline bench press/d40d71d9-0083-4285-b361-d2e8a3365468.npy,decline bench press,d40d71d9-0083-4285-b361-d2e8a3365468.npy,train
pose_data/train/decline bench press/c918c60a-7204-42f9-b61c-d1f2918a13f3.npy,decline bench press,c918c60a-7204-42f9-b61c-d1f2918a13f3.npy,train
pose_data/train/decline bench press/9f33f45f-6d52-405f-8bdc-63ae4025010a.npy,decline bench press,9f33f45f-6d52-405f-8bdc-63ae4025010a.npy,train
pose_data/train/decline bench press/4eae2bec-41ad-4804-abf9-89d232c2797f.npy,decline bench press,4eae2bec-41ad-4804-abf9-89d232c2797f.npy,train
pose_data/train/decline bench press/fa865274-09f7-43b7-afe8-8f20d52f83d9.npy,decline bench press,fa865274-09f7-43b7-afe8-8f20d52f83d9.npy,train
pose_data/train/decline bench press/0bb58bcd-eae2-455c-a4fa-d36850254ee7.npy,decline bench press,0bb58bcd-eae2-455c-a4fa-d36850254ee7.npy,train
pose_data/train/decline bench press/68bacdc8-205b-4aa7-b173-1b32df075cb8.npy,decline bench press,68bacdc8-205b-4aa7-b173-1b32df075cb8.npy,train
pose_data/train/decline bench press/d2478070-dbb3-4bfe-84fe-a0f775a858a0.npy,decline bench press,d2478070-dbb3-4bfe-84fe-a0f775a858a0.npy,train
pose_data/train/decline bench press/b9fa9f66-2140-4f3f-973c-739ed6828c32.npy,decline bench press,b9fa9f66-2140-4f3f-973c-739ed6828c32.npy,train
pose_data/train/decline bench press/703343e6-b474-4aa4-bf88-84a84df046ac.npy,decline bench press,703343e6-b474-4aa4-bf88-84a84df046ac.npy,train
pose_data/train/bench press/97bb018f-572b-42fa-9777-52969dccb020.npy,bench press,97bb018f-572b-42fa-9777-52969dccb020.npy,train
pose_data/train/bench press/f48bb23c-ded7-4cff-ac59-86197fae8a36.npy,bench press,f48bb23c-ded7-4cff-ac59-86197fae8a36.npy,train
pose_data/train/bench press/c330c5b8-5805-4dcc-9dc1-9e0780252817.npy,bench press,c330c5b8-5805-4dcc-9dc1-9e0780252817.npy,train
pose_data/train/bench press/7199d141-0557-4666-b5fb-6195684cf33e.npy,bench press,7199d141-0557-4666-b5fb-6195684cf33e.npy,train
pose_data/train/bench press/42e663d4-56ca-4aa9-b84e-13322f4dda29.npy,bench press,42e663d4-56ca-4aa9-b84e-13322f4dda29.npy,train
pose_data/train/bench press/d4fd1de2-c3c1-4379-9757-636967f37ed4.npy,bench press,d4fd1de2-c3c1-4379-9757-636967f37ed4.npy,train
pose_data/train/bench press/d702b4f0-1e86-45a6-8329-79b304c39a83.npy,bench press,d702b4f0-1e86-45a6-8329-79b304c39a83.npy,train
pose_data/train/bench press/7a792421-3831-4f4e-ad5f-8665b57d103e.npy,bench press,7a792421-3831-4f4e-ad5f-8665b57d103e.npy,train
pose_data/train/bench press/6a2fc98a-49bc-494f-8f42-78c36faaf1d0.npy,bench press,6a2fc98a-49bc-494f-8f42-78c36faaf1d0.npy,train
pose_data/train/bench press/8a178581-c265-4859-a711-89d3be4cb079.npy,bench press,8a178581-c265-4859-a711-89d3be4cb079.npy,train
pose_data/train/bench press/bd774c21-3663-48fd-970e-4d4cd9f47eeb.npy,bench press,bd774c21-3663-48fd-970e-4d4cd9f47eeb.npy,train
pose_data/train/bench press/d4f056f1-f946-4d86-9133-6b496cc449a3.npy,bench press,d4f056f1-f946-4d86-9133-6b496cc449a3.npy,train
pose_data/train/bench press/a264a16f-749c-4463-ac6e-2b1d69333188.npy,bench press,a264a16f-749c-4463-ac6e-2b1d69333188.npy,train
pose_data/train/bench press/02760d18-a269-4179-8d51-3dcd9dfaca91.npy,bench press,02760d18-a269-4179-8d51-3dcd9dfaca91.npy,train
pose_data/train/bench press/59781328-d888-4882-a691-63ec62a5b44a.npy,bench press,59781328-d888-4882-a691-63ec62a5b44a.npy,train
pose_data/train/bench press/1d932739-b631-4c60-ae9e-ea04edd84464.npy,bench press,1d932739-b631-4c60-ae9e-ea04edd84464.npy,train
pose_data/train/bench press/7152344b-a1bf-47ea-bfb8-c5e3011aa00c.npy,bench press,7152344b-a1bf-47ea-bfb8-c5e3011aa00c.npy,train
pose_data/train/bench press/c7c330ce-3c46-44e0-82cd-9c339e2985a8.npy,bench press,c7c330ce-3c46-44e0-82cd-9c339e2985a8.npy,train
pose_data/train/bench press/3c8aa7bf-ef64-43a7-8d1b-2b1ca0849c5c.npy,bench press,3c8aa7bf-ef64-43a7-8d1b-2b1ca0849c5c.npy,train
pose_data/train/bench press/a1876b71-03a5-456b-a382-2a9f17ec6bed.npy,bench press,a1876b71-03a5-456b-a382-2a9f17ec6bed.npy,train
pose_data/train/bench press/c6a8318a-de66-43e9-b689-ad844aea463d.npy,bench press,c6a8318a-de66-43e9-b689-ad844aea463d.npy,train
pose_data/train/bench press/8faef8cf-8065-435a-be16-f419631860f3.npy,bench press,8faef8cf-8065-435a-be16-f419631860f3.npy,train
pose_data/train/bench press/96fd97f4-6969-4d47-bb48-0a78acddf973.npy,bench press,96fd97f4-6969-4d47-bb48-0a78acddf973.npy,train
pose_data/train/bench press/1435d624-3c00-4421-9bec-5f9ce2fd6b79.npy,bench press,1435d624-3c00-4421-9bec-5f9ce2fd6b79.npy,train
pose_data/train/bench press/30b9c4f7-5418-490c-b734-9dd142900480.npy,bench press,30b9c4f7-5418-490c-b734-9dd142900480.npy,train
pose_data/train/bench press/5c0c9921-10b5-4ce1-bed6-426dd32b4224.npy,bench press,5c0c9921-10b5-4ce1-bed6-426dd32b4224.npy,train
pose_data/train/bench press/5bffaf89-343a-47da-988f-5f6694c24e61.npy,bench press,5bffaf89-343a-47da-988f-5f6694c24e61.npy,train
pose_data/train/bench press/a33dfc53-f7fd-4ab0-a57d-ddb25d24f3e8.npy,bench press,a33dfc53-f7fd-4ab0-a57d-ddb25d24f3e8.npy,train
pose_data/train/bench press/41196bb8-db85-4d6e-a234-341ba72a4ea2.npy,bench press,41196bb8-db85-4d6e-a234-341ba72a4ea2.npy,train
pose_data/train/bench press/444f0952-ffde-4b1c-a683-461f18ae5ae8.npy,bench press,444f0952-ffde-4b1c-a683-461f18ae5ae8.npy,train
pose_data/train/bench press/59add86b-d3d9-4c35-a584-e694d50ed8b8.npy,bench press,59add86b-d3d9-4c35-a584-e694d50ed8b8.npy,train
pose_data/train/bench press/fd81ef14-7362-4419-991a-64f55d9b7b47.npy,bench press,fd81ef14-7362-4419-991a-64f55d9b7b47.npy,train
pose_data/train/bench press/1f1fa66f-9dca-411e-949f-4b2a3f5d4b0a.npy,bench press,1f1fa66f-9dca-411e-949f-4b2a3f5d4b0a.npy,train
pose_data/train/bench press/9737fc1d-5169-41d8-a547-ab609bde2453.npy,bench press,9737fc1d-5169-41d8-a547-ab609bde2453.npy,train
pose_data/train/bench press/ad47dcf8-9b5e-4d94-8e33-801f240a5d9a.npy,bench press,ad47dcf8-9b5e-4d94-8e33-801f240a5d9a.npy,train
pose_data/train/bench press/c7a31920-525e-4efb-939e-e58590b080ae.npy,bench press,c7a31920-525e-4efb-939e-e58590b080ae.npy,train
pose_data/train/bench press/b39da8bf-e316-4c05-8f10-58c3143b4ddf.npy,bench press,b39da8bf-e316-4c05-8f10-58c3143b4ddf.npy,train
pose_data/train/bench press/21aa3606-2346-4686-8a03-36ae36b9fa32.npy,bench press,21aa3606-2346-4686-8a03-36ae36b9fa32.npy,train
pose_data/train/bench press/b6faa854-d453-4684-8403-586d820e6149.npy,bench press,b6faa854-d453-4684-8403-586d820e6149.npy,train
pose_data/train/bench press/83f1eb1b-8185-4e56-8c5e-4998db413c00.npy,bench press,83f1eb1b-8185-4e56-8c5e-4998db413c00.npy,train
pose_data/train/bench press/28deedd1-8428-4678-b44e-58e819af076c.npy,bench press,28deedd1-8428-4678-b44e-58e819af076c.npy,train
pose_data/train/bench press/6c14d0f1-aa1d-47bc-95ab-2b2f34ef51c6.npy,bench press,6c14d0f1-aa1d-47bc-95ab-2b2f34ef51c6.npy,train
pose_data/train/bench press/2c811f5a-76d4-489b-a7b3-bda05977d5f0.npy,bench press,2c811f5a-76d4-489b-a7b3-bda05977d5f0.npy,train
pose_data/train/bench press/ffe82964-60fe-4ca5-aef8-476de58e28a9.npy,bench press,ffe82964-60fe-4ca5-aef8-476de58e28a9.npy,train
pose_data/train/bench press/e39313a5-6edd-4f1c-9716-f86f3e07ff20.npy,bench press,e39313a5-6edd-4f1c-9716-f86f3e07ff20.npy,train
pose_data/train/bench press/6d8f6dd7-0ba3-469d-a805-d63982e49c48.npy,bench press,6d8f6dd7-0ba3-469d-a805-d63982e49c48.npy,train
pose_data/train/bench press/366f9c08-7514-40cb-b619-db716770c9e1.npy,bench press,366f9c08-7514-40cb-b619-db716770c9e1.npy,train
pose_data/train/bench press/0962f932-131d-4e9c-974d-7a1724a7b653.npy,bench press,0962f932-131d-4e9c-974d-7a1724a7b653.npy,train
pose_data/train/bench press/85bfde89-1f89-41f6-a30e-db3360168521.npy,bench press,85bfde89-1f89-41f6-a30e-db3360168521.npy,train
pose_data/train/bench press/63e0b4c5-0c75-40b2-8d29-48e52cb854c1.npy,bench press,63e0b4c5-0c75-40b2-8d29-48e52cb854c1.npy,train
pose_data/train/bench press/c36ca023-22ce-4500-9378-2fdc69e13638.npy,bench press,c36ca023-22ce-4500-9378-2fdc69e13638.npy,train
pose_data/train/bench press/1c314873-5fac-44d9-9d95-6bd894355dbe.npy,bench press,1c314873-5fac-44d9-9d95-6bd894355dbe.npy,train
pose_data/train/bench press/6af459fd-7738-4fb4-853c-e401f0db41be.npy,bench press,6af459fd-7738-4fb4-853c-e401f0db41be.npy,train
pose_data/train/bench press/64380488-393b-4107-9a69-5d130c416cc2.npy,bench press,64380488-393b-4107-9a69-5d130c416cc2.npy,train
pose_data/train/bench press/503395c0-cf93-4c9a-824c-8c5131869597.npy,bench press,503395c0-cf93-4c9a-824c-8c5131869597.npy,train
pose_data/train/bench press/60f33547-8a7e-4bf3-8c4e-adeacdeed789.npy,bench press,60f33547-8a7e-4bf3-8c4e-adeacdeed789.npy,train
pose_data/train/bench press/6ae92cde-70cc-4f20-ae0e-d7fd52d6f081.npy,bench press,6ae92cde-70cc-4f20-ae0e-d7fd52d6f081.npy,train
pose_data/train/bench press/967f05bd-a51e-4968-8db5-0a315b7e191d.npy,bench press,967f05bd-a51e-4968-8db5-0a315b7e191d.npy,train
pose_data/train/bench press/997dad87-5f67-4240-84b9-042a1e4ec145.npy,bench press,997dad87-5f67-4240-84b9-042a1e4ec145.npy,train
pose_data/train/bench press/800a0df8-b631-442a-8add-575fa6dad10e.npy,bench press,800a0df8-b631-442a-8add-575fa6dad10e.npy,train
pose_data/train/bench press/41e112b6-f736-4c98-bdf3-f89a81f05f12.npy,bench press,41e112b6-f736-4c98-bdf3-f89a81f05f12.npy,train
pose_data/train/bench press/8ea0a7b2-42bb-4012-b8a7-1b4eb2eb3f75.npy,bench press,8ea0a7b2-42bb-4012-b8a7-1b4eb2eb3f75.npy,train
pose_data/train/bench press/3ef22167-eb82-4f4b-a3b7-9ca7cbfe3df4.npy,bench press,3ef22167-eb82-4f4b-a3b7-9ca7cbfe3df4.npy,train
pose_data/train/bench press/83395be3-f07e-42d5-8cf9-7d50772ad9c7.npy,bench press,83395be3-f07e-42d5-8cf9-7d50772ad9c7.npy,train
pose_data/train/bench press/a442b7f8-ddf6-458a-bf3c-fbfe457b956d.npy,bench press,a442b7f8-ddf6-458a-bf3c-fbfe457b956d.npy,train
pose_data/train/bench press/fc4b9a83-67f7-4431-8a0d-57e55eb7584d.npy,bench press,fc4b9a83-67f7-4431-8a0d-57e55eb7584d.npy,train
pose_data/train/bench press/d1c4e91d-9d04-412c-9bb0-9d748001d0bd.npy,bench press,d1c4e91d-9d04-412c-9bb0-9d748001d0bd.npy,train
pose_data/train/bench press/24f30d8f-221c-430d-82c6-c9ca19fa31e0.npy,bench press,24f30d8f-221c-430d-82c6-c9ca19fa31e0.npy,train
pose_data/train/bench press/2a564eaf-f614-44c2-ad04-051f0366570e.npy,bench press,2a564eaf-f614-44c2-ad04-051f0366570e.npy,train
pose_data/train/bench press/a9603139-ac9a-4e06-8f4c-63a71efcce18.npy,bench press,a9603139-ac9a-4e06-8f4c-63a71efcce18.npy,train
pose_data/train/bench press/ba930096-ff8e-4b76-ab42-54c9b422eb0d.npy,bench press,ba930096-ff8e-4b76-ab42-54c9b422eb0d.npy,train
pose_data/train/bench press/80c36bba-7da6-4549-b54f-4210f598db82.npy,bench press,80c36bba-7da6-4549-b54f-4210f598db82.npy,train
pose_data/train/bench press/44ef6e59-2ac0-424e-bb69-645f7015a330.npy,bench press,44ef6e59-2ac0-424e-bb69-645f7015a330.npy,train
pose_data/train/bench press/058f87df-a9d6-4ef4-af3c-7533918da4db.npy,bench press,058f87df-a9d6-4ef4-af3c-7533918da4db.npy,train
pose_data/train/bench press/15a4da6d-4582-42f0-ada4-5bd6d4e34cdb.npy,bench press,15a4da6d-4582-42f0-ada4-5bd6d4e34cdb.npy,train
pose_data/train/lateral raise/acd3e9ef-9442-4a06-94b8-497c316a2253.npy,lateral raise,acd3e9ef-9442-4a06-94b8-497c316a2253.npy,train
pose_data/train/lateral raise/e79c50e9-1671-4ff1-820d-f2cc22c0ef7c.npy,lateral raise,e79c50e9-1671-4ff1-820d-f2cc22c0ef7c.npy,train
pose_data/train/lateral raise/d742a85f-6053-4cb3-a615-a0661d9a0a64.npy,lateral raise,d742a85f-6053-4cb3-a615-a0661d9a0a64.npy,train
pose_data/train/lateral raise/6e557b53-51e5-4e92-b222-9eab699f5b19.npy,lateral raise,6e557b53-51e5-4e92-b222-9eab699f5b19.npy,train
pose_data/train/lateral raise/c711856f-933a-4028-a187-5896fb9602a1.npy,lateral raise,c711856f-933a-4028-a187-5896fb9602a1.npy,train
pose_data/train/lateral raise/a6412f54-fb5c-4613-8045-ab72147a8377.npy,lateral raise,a6412f54-fb5c-4613-8045-ab72147a8377.npy,train
pose_data/train/lateral raise/807fbb68-f23e-4b94-ba88-0d37e748c2d0.npy,lateral raise,807fbb68-f23e-4b94-ba88-0d37e748c2d0.npy,train
pose_data/train/lateral raise/63c789d4-eb27-41fc-ab72-ce8c44c68fa1.npy,lateral raise,63c789d4-eb27-41fc-ab72-ce8c44c68fa1.npy,train
pose_data/train/lateral raise/fdcf5c8e-ad13-4f84-a102-37cbfbc503c3.npy,lateral raise,fdcf5c8e-ad13-4f84-a102-37cbfbc503c3.npy,train
pose_data/train/lateral raise/af5d2fed-56af-4b62-ba00-55ab166b79b0.npy,lateral raise,af5d2fed-56af-4b62-ba00-55ab166b79b0.npy,train
pose_data/train/lateral raise/e3eaae86-d49f-475a-8d59-60f84a22f6f7.npy,lateral raise,e3eaae86-d49f-475a-8d59-60f84a22f6f7.npy,train
pose_data/train/lateral raise/be633d01-05af-4ff8-9564-b1ca6b51a603.npy,lateral raise,be633d01-05af-4ff8-9564-b1ca6b51a603.npy,train
pose_data/train/lateral raise/c2ef03c0-359b-49d9-87ac-30175d44521f.npy,lateral raise,c2ef03c0-359b-49d9-87ac-30175d44521f.npy,train
pose_data/train/lateral raise/3e6ffc0b-6b82-4ca2-9b84-519f385c0c4d.npy,lateral raise,3e6ffc0b-6b82-4ca2-9b84-519f385c0c4d.npy,train
pose_data/train/lateral raise/151b5c0d-0663-428e-9ee2-75c2f246ccd4.npy,lateral raise,151b5c0d-0663-428e-9ee2-75c2f246ccd4.npy,train
pose_data/train/lateral raise/f68ba63c-6e61-4c18-a248-f63396cb0fd7.npy,lateral raise,f68ba63c-6e61-4c18-a248-f63396cb0fd7.npy,train
pose_data/train/lateral raise/3d234179-7d47-40e2-8fee-e4c10d5836c0.npy,lateral raise,3d234179-7d47-40e2-8fee-e4c10d5836c0.npy,train
pose_data/train/lateral raise/5029f075-0fcc-47a8-bf8b-963d9927a62a.npy,lateral raise,5029f075-0fcc-47a8-bf8b-963d9927a62a.npy,train
pose_data/train/lateral raise/2f4d7fba-9c7f-4a85-8258-8ec9af3d4fdc.npy,lateral raise,2f4d7fba-9c7f-4a85-8258-8ec9af3d4fdc.npy,train
pose_data/train/lateral raise/cedcaa40-5eb5-4290-9405-5e2d286ec250.npy,lateral raise,cedcaa40-5eb5-4290-9405-5e2d286ec250.npy,train
pose_data/train/lateral raise/22cb0066-e6dc-405b-820c-12b8706e7d79.npy,lateral raise,22cb0066-e6dc-405b-820c-12b8706e7d79.npy,train
pose_data/train/lateral raise/8f554d68-f502-46fe-b8e2-e2ed01bcf0e2.npy,lateral raise,8f554d68-f502-46fe-b8e2-e2ed01bcf0e2.npy,train
pose_data/train/lateral raise/06e93182-05e5-4c9d-afef-559aabd6700a.npy,lateral raise,06e93182-05e5-4c9d-afef-559aabd6700a.npy,train
pose_data/train/lateral raise/bdb84cfa-c1c2-413e-9e8b-68e93d575370.npy,lateral raise,bdb84cfa-c1c2-413e-9e8b-68e93d575370.npy,train
pose_data/train/lateral raise/f28aa320-021e-42ac-aaa9-d5eccfc29975.npy,lateral raise,f28aa320-021e-42ac-aaa9-d5eccfc29975.npy,train
pose_data/train/lateral raise/fb757a04-0b77-4ba4-adcb-fdc867e1118a.npy,lateral raise,fb757a04-0b77-4ba4-adcb-fdc867e1118a.npy,train
pose_data/train/lateral raise/6811389a-2061-4078-97cb-a96eb7e05745.npy,lateral raise,6811389a-2061-4078-97cb-a96eb7e05745.npy,train
pose_data/train/lateral raise/0f3b95f6-37a7-4f42-9c18-df0bf91ee181.npy,lateral raise,0f3b95f6-37a7-4f42-9c18-df0bf91ee181.npy,train
pose_data/train/lateral raise/e5d77668-c0d0-4e60-baa3-884b94396464.npy,lateral raise,e5d77668-c0d0-4e60-baa3-884b94396464.npy,train
pose_data/train/lateral raise/8326de13-af53-4161-861f-9d5c22a46dc0.npy,lateral raise,8326de13-af53-4161-861f-9d5c22a46dc0.npy,train
pose_data/train/lateral raise/45fe2b7f-70d7-47a4-a8ff-14594a724730.npy,lateral raise,45fe2b7f-70d7-47a4-a8ff-14594a724730.npy,train
pose_data/train/lateral raise/be7f2a31-a34d-4470-b3fc-14df5b895698.npy,lateral raise,be7f2a31-a34d-4470-b3fc-14df5b895698.npy,train
pose_data/train/lateral raise/15c75af5-8994-49e4-8076-17ad7e85626e.npy,lateral raise,15c75af5-8994-49e4-8076-17ad7e85626e.npy,train
pose_data/train/lateral raise/8c24956f-ee83-4400-9e1f-083fd66fb53a.npy,lateral raise,8c24956f-ee83-4400-9e1f-083fd66fb53a.npy,train
pose_data/train/lateral raise/3ed0ea2d-5fda-4a5a-8ed3-722539b26f53.npy,lateral raise,3ed0ea2d-5fda-4a5a-8ed3-722539b26f53.npy,train
pose_data/train/lateral raise/c034ee85-81ca-4a3d-a6d4-63ca631dd838.npy,lateral raise,c034ee85-81ca-4a3d-a6d4-63ca631dd838.npy,train
pose_data/train/lateral raise/41e9ba2c-877a-4942-8c1f-a32240dbdab4.npy,lateral raise,41e9ba2c-877a-4942-8c1f-a32240dbdab4.npy,train
pose_data/train/lateral raise/6add8797-0c09-4a91-ab4c-bc09ce0607cd.npy,lateral raise,6add8797-0c09-4a91-ab4c-bc09ce0607cd.npy,train
pose_data/train/lateral raise/cc4d3f2d-f080-4fb4-9936-c83d0b9f1a83.npy,lateral raise,cc4d3f2d-f080-4fb4-9936-c83d0b9f1a83.npy,train
pose_data/train/lateral raise/73efdcd4-676c-4e5e-8e61-f3d47c49e9d4.npy,lateral raise,73efdcd4-676c-4e5e-8e61-f3d47c49e9d4.npy,train
pose_data/train/lateral raise/69fec327-9c90-43f2-94fc-d9998878ce09.npy,lateral raise,69fec327-9c90-43f2-94fc-d9998878ce09.npy,train
pose_data/train/lateral raise/982eab85-8283-4d9d-935a-52d8a62b52c0.npy,lateral raise,982eab85-8283-4d9d-935a-52d8a62b52c0.npy,train
pose_data/train/lateral raise/87e7c810-8a86-4ac8-b7d9-70beceb0702c.npy,lateral raise,87e7c810-8a86-4ac8-b7d9-70beceb0702c.npy,train
pose_data/train/lateral raise/df16a890-96e1-4fd2-86c4-321b3b437946.npy,lateral raise,df16a890-96e1-4fd2-86c4-321b3b437946.npy,train
pose_data/train/pull Up/f2bd074e-5afe-4e46-95b7-b697d3965275.npy,pull Up,f2bd074e-5afe-4e46-95b7-b697d3965275.npy,train
pose_data/train/pull Up/750d7f07-0a1e-4d6f-b2f3-50d478103dec.npy,pull Up,750d7f07-0a1e-4d6f-b2f3-50d478103dec.npy,train
pose_data/train/pull Up/02cfadb3-9ef9-42dc-8234-e149887540a1.npy,pull Up,02cfadb3-9ef9-42dc-8234-e149887540a1.npy,train
pose_data/train/pull Up/41c17e19-38c0-402e-872f-1688113f7b4b.npy,pull Up,41c17e19-38c0-402e-872f-1688113f7b4b.npy,train
pose_data/train/pull Up/fce8f774-b869-4202-9a55-a16afea8cc1d.npy,pull Up,fce8f774-b869-4202-9a55-a16afea8cc1d.npy,train
pose_data/train/pull Up/bd0f0283-454c-4598-adc7-1a670420b2fd.npy,pull Up,bd0f0283-454c-4598-adc7-1a670420b2fd.npy,train
